Monetico-Reference paiement;Monetico-Statut;Conduent-Reference paiement;Conduent-Statut;Match
256814$6F179885;PA;256814$6F179885;ANN;exactMatch
75872$2BBAB214;PA;75872$2BBAB214;ANN;exactMatch
195898$33F4F2BC;PA;195898$33F4F2BC;ANN;exactMatch
249971$00D5CF9D;PA;249971$00D5CF9D;ANN;exactMatch
249954$323F27E6;PA;249954$323F27E6;ANN;exactMatch
249929$DCEACF7B;PA;249929$DCEACF7B;ANN;exactMatch
249828$3537F398;PA;249828$3537F398;PAA;exactMatch
249823$665A7189;PA;249823$665A7189;PAA;exactMatch
249876$EEDC9631;PA;249876$EEDC9631;PAA;exactMatch
249866$D4F058AD;PA;249866$D4F058AD;PAA;exactMatch
190682$3B48974E;PA;190682$3B48974E;PAA;exactMatch
249785$E319EB16;PA;249785$E319EB16;ANN;exactMatch
242383$37FE0A21;PA;242383$37FE0A21;ANN;exactMatch
238257$69BE2782;PA;238257$69BE2782;ANN;exactMatch
239348$E6896B76;PA;239348$E6896B76;ANN;exactMatch
236979$F370F239;PA;236979$F370F239;ANN;exactMatch
71422$2F536F52;PA;71422$2F536F52;PAA;exactMatch
170177$4D76169C;PA;170177$4D76169C;PAA;exactMatch
159348$F4925D8C;PA;159348$F4925D8C;PAA;exactMatch
189172$C4886085;PA;189172$C4886085;PAA;exactMatch
140696$BF29BCC4;PA;140696$BF29BCC4;PAA;exactMatch
179777$8D4B6863;PA;179777$8D4B6863;PAA;exactMatch
128343$5C8DC282;PA;128343$5C8DC282;PAA;exactMatch
131813$94244FA7;PA;131813$94244FA7;PAA;exactMatch
101779$B2C5C7B2;PA;101779$B2C5C7B2;PAA;exactMatch
135427$94A71FB7;PA;135427$94A71FB7;PAA;exactMatch
134407$6272E7B9;PA;134407$6272E7B9;PAA;exactMatch
147093$A8E662CB;PA;147093$A8E662CB;PAA;exactMatch
133999$7B16A143;PA;133999$7B16A143;PAA;exactMatch
127962$8A559991;PA;127962$8A559991;PAA;exactMatch
125739$034D4800;PA;125739$034D4800;PAA;exactMatch
118167$4825C460;PA;118167$4825C460;PAA;exactMatch
109173$AB92C015;PA;109173$AB92C015;PAA;exactMatch
138886$DDE95238;PA;138886$DDE95238;PAA;exactMatch
100908$BB38D3CB;PA;100908$BB38D3CB;PAA;exactMatch
107023$CE7CB9AA;PA;107023$CE7CB9AA;PAA;exactMatch
2769$65FE3AAB;PA;2769$65FE3AAB;PAA;exactMatch
63638$ED1A9365;PA;63638$48AC419C;PAA;orderMatch
63638$48AC419C;PA;63638$48AC419C;PAA;exactMatch
24725$F1DCB10A;PA;24725$F1DCB10A;PAA;exactMatch
19205$CB5D252B;PA;19205$CB5D252B;PAA;exactMatch
15615$54E69970;PA;15615$54E69970;PAA;exactMatch
48456$6E20E44C;PA;48456$6E20E44C;PAA;exactMatch
19683$FB14D58F;PA;19683$FB14D58F;PAA;exactMatch
15615$54E69970;PA;15615$54E69970;PAA;exactMatch
15625$EF910A78;PA;15625$EF910A78;PAA;exactMatch
48456$6E20E44C;PA;48456$6E20E44C;PAA;exactMatch
19683$FB14D58F;PA;19683$FB14D58F;PAA;exactMatch
48456$6E20E44C;PP;48456$6E20E44C;PAA;exactMatch
19683$FB14D58F;PP;19683$FB14D58F;PAA;exactMatch
15615$54E69970;PP;15615$54E69970;PAA;exactMatch
15625$EF910A78;PP;15625$EF910A78;PAA;exactMatch
